# Migration is number of nodes that have changed color.

Round		Edge-Cut		Swaps		Migrations		Skipped
250		40868		7057		2030
251		40868		7058		2029
252		40867		7060		2030
253		40869		7062		2030
254		40868		7064		2030
255		40864		7067		2030
256		40864		7068		2030
257		40864		7070		2031
258		40864		7071		2031
259		40864		7074		2032
260		40864		7076		2031
261		40864		7076		2031
262		40865		7081		2032
263		40864		7085		2031
264		40864		7087		2030
265		40864		7088		2030
266		40866		7095		2029
267		40866		7102		2027
268		40866		7106		2028
269		40866		7111		2030
270		40865		7115		2030
271		40865		7118		2030
272		40864		7121		2031
273		40864		7122		2032
274		40864		7123		2031
275		40864		7125		2030
276		40864		7127		2028
277		40864		7130		2028
278		40865		7133		2026
279		40864		7137		2026
280		40871		7149		2028
281		40870		7154		2027
282		40871		7162		2029
283		40872		7170		2030
284		40872		7179		2028
285		40872		7188		2024
286		40872		7192		2022
287		40868		7198		2025
288		40870		7207		2025
289		40867		7210		2026
290		40865		7211		2027
291		40865		7214		2024
292		40864		7216		2023
293		40866		7217		2024
294		40864		7221		2024
295		40864		7221		2024
296		40863		7223		2026
297		40863		7225		2026
298		40863		7226		2026
299		40863		7229		2026
300		40862		7230		2026
301		40862		7231		2025
302		40862		7232		2023
303		40864		7233		2024
304		40863		7236		2024
305		40862		7238		2026
306		40862		7240		2028
307		40862		7241		2027
308		40862		7242		2028
309		40862		7242		2028
310		40862		7243		2028
311		40862		7245		2028
312		40862		7246		2029
313		40862		7247		2028
314		40862		7247		2028
315		40862		7249		2029
316		40862		7249		2029
317		40862		7251		2027
318		40862		7253		2028
319		40862		7253		2028
320		40882		7273		2026
321		40876		7285		2029
322		40869		7296		2028
323		40871		7302		2031
324		40870		7307		2030
325		40865		7312		2029
326		40865		7314		2030
327		40867		7317		2030
328		40866		7320		2029
329		40866		7321		2029
330		40866		7322		2029
331		40864		7326		2031
332		40864		7326		2031
333		40864		7328		2032
334		40864		7328		2032
335		40864		7329		2032
336		40864		7329		2032
337		40865		7338		2032
338		40868		7345		2034
339		40866		7351		2032
340		40866		7351		2032
341		40866		7354		2033
342		40865		7357		2034
343		40866		7359		2033
344		40865		7362		2035
345		40864		7363		2035
346		40864		7365		2034
347		40864		7365		2034
348		40864		7366		2033
349		40864		7368		2033
350		40863		7370		2033
351		40862		7374		2031
352		40864		7376		2031
353		40862		7380		2032
354		40862		7381		2033
355		40862		7385		2033
356		40863		7391		2034
357		40864		7396		2033
358		40863		7401		2034
359		40865		7402		2035
360		40885		7422		2032
361		40887		7435		2033
362		40884		7444		2030
363		40882		7451		2032
364		40878		7460		2030
365		40875		7466		2027
366		40873		7471		2026
367		40873		7477		2028
368		40870		7485		2029
369		40870		7491		2030
370		40869		7494		2032
371		40869		7497		2031
372		40868		7501		2032
373		40868		7506		2032
374		40869		7512		2031
375		40868		7518		2031
376		40868		7523		2031
377		40868		7530		2030
378		40868		7537		2029
379		40868		7540		2029
380		40868		7543		2029
381		40869		7548		2029
382		40869		7552		2029
383		40867		7557		2027
384		40867		7564		2024
385		40868		7571		2023
386		40867		7579		2022
387		40866		7582		2022
388		40866		7586		2025
389		40867		7590		2024
390		40866		7598		2025
391		40866		7605		2023
392		40864		7608		2022
393		40863		7611		2024
394		40862		7615		2024
395		40862		7619		2027
396		40862		7622		2026
397		40864		7625		2027
398		40864		7632		2025
399		40864		7634		2025
400		40873		7645		2023
401		40870		7652		2022
402		40869		7661		2022
403		40867		7670		2019
404		40867		7676		2021
405		40865		7679		2020
406		40863		7683		2018
407		40865		7689		2017
408		40864		7692		2015
409		40862		7695		2018
410		40862		7697		2017
411		40862		7698		2017
412		40862		7699		2017
413		40862		7700		2017
414		40862		7700		2017
415		40862		7701		2017
416		40862		7702		2018
417		40862		7703		2020
418		40862		7703		2020
419		40862		7705		2019
420		40862		7707		2020
421		40862		7708		2019
422		40862		7709		2020
423		40862		7712		2020
424		40862		7714		2020
425		40862		7715		2021
426		40862		7718		2024
427		40862		7718		2024
428		40862		7720		2026
429		40863		7726		2024
430		40863		7726		2024
431		40863		7727		2026
432		40863		7728		2025
433		40863		7729		2025
434		40863		7732		2027
435		40863		7734		2029
436		40863		7735		2027
437		40863		7735		2027
438		40863		7737		2027
439		40863		7738		2027
440		40879		7755		2025
441		40872		7767		2025
442		40871		7777		2026
443		40868		7783		2024
444		40867		7791		2028
445		40870		7800		2025
446		40866		7803		2026
447		40864		7806		2025
448		40864		7809		2028
449		40864		7810		2028
450		40864		7812		2031
451		40864		7815		2029
452		40864		7816		2028
453		40865		7819		2028
454		40865		7820		2027
455		40865		7823		2027
456		40865		7827		2025
457		40865		7832		2026
458		40865		7834		2026
459		40865		7838		2025
